id,texto,nivel,categoria,origem,split
msg_00001,"Ei, tudo bem? O suporte precisa controlar seu notebook. Baixe o programa enviado e aceite todas as permissões.",alto,acesso_remoto,sintetico_v1,treino
msg_00004,"Oi! A divisão da conta ficou em R$ 75,50 para cada pessoa.",baixo,pagamento_conhecido,sintetico_v1,treino
msg_00008,Pegue um empréstimo e invista conosco; o lucro certo pagará todas as parcelas.,alto,investimento_garantido,sintetico_v1,treino
msg_00009,"Ei, tudo bem? Vou chegar às 8h. Se mudar alguma coisa, eu aviso por aqui. Me avise quando puder. Obrigado.",baixo,conversa_cotidiana,sintetico_v1,treino
msg_00010,Boa noite! Estou usando um número pessoal. Pague a nota enviada e não confirme com mais ninguém. Me avise quando puder.,alto,fraude_executivo,sintetico_v1,treino
msg_00011,Opa! Temos uma vaga de trabalho remoto com início imediato. Não é necessário processo seletivo. Responda quando puder.,medio,vaga_duvidosa,sintetico_v1,treino
msg_00013,"Olá! Conforme o chamado que você abriu, o atendimento está agendado para segunda-feira no fim da tarde. Não enviaremos pedido de senha. Confira quando puder.",baixo,suporte_solicitado,sintetico_v1,treino
msg_00016,"o setor de segurança da conta identificou uma fraude. Para cancelar a compra, faça uma transferência para a conta de segurança. Obrigado.",alto,falso_banco,sintetico_v1,treino
msg_00017,Há um valor público disponível no seu CPF. Informe a senha bancária para receber! Obrigado.,alto,beneficio_com_taxa,sintetico_v1,treino
msg_00018,Bom dia! Salva meu número novo e apaga o antigo. Também preciso que pague um boleto para mim agora. Responda quando puder.,alto,falso_familiar,sintetico_v1,treino
msg_00019,Boa tarde! Você consegue me encontrar na clínica amanhã às 9h30? Obrigado.,baixo,conversa_cotidiana,sintetico_v1,treino
msg_00020,Boa noite! A equipe vai revisar o documento quarta-feira antes da reunião! Atenciosamente.,baixo,trabalho_estudo,sintetico_v1,treino
msg_00023,Você iniciou uma recuperação de senha no site oficial digitado no navegador. Digite o código somente na tela que você abriu e não o compartilhe. Pode confirmar o recebimento?,baixo,recuperacao_solicitada,sintetico_v1,treino
msg_00024,Oi! Você pode trazer o caderno quando vier sexta-feira? Obrigado.,baixo,conversa_cotidiana,sintetico_v1,treino
msg_00025,Bom dia! O investimento apresentou variação neste mês; rentabilidade passada não garante retorno futuro. Responda quando puder.,baixo,informativo_financeiro,sintetico_v1,treino
msg_00026,"Boa tarde! O produto está disponível, mas confirme pessoalmente antes de efetuar qualquer pagamento. Responda quando puder.",baixo,compra_presencial,sintetico_v1,treino
msg_00027,"Olá, tudo certo? Existe um débito pendente com vencimento terça-feira. A origem não foi informada nesta mensagem. Me avise quando puder.",medio,cobranca_duvidosa,sintetico_v1,treino
msg_00028,"Bom dia! Não compartilhe o código recebido por SMS, mesmo que alguém diga ser funcionário do banco! Obrigado.",baixo,aviso_seguranca,sintetico_v1,treino
msg_00029,"Bom dia! Para receber pela venda, informe número do cartão, senha e código de segurança.",alto,fraude_marketplace,sintetico_v1,treino
msg_00030,"Você tem um reembolso a receber. Envie foto do documento, cartão e senha. Tudo bem?",alto,beneficio_com_taxa,sintetico_v1,treino
msg_00031,"Boa noite! Para receber pela venda, informe número do cartão, senha e código de segurança! Tudo bem?",alto,fraude_marketplace,sintetico_v1,treino
msg_00032,"Ei, tudo bem? A compra de R$ 18,90 feita por você já aparece no histórico do cartão. Confira quando puder.",baixo,informativo_financeiro,sintetico_v1,treino
msg_00033,"Seu currículo foi selecionado para uma oportunidade de R$ 18,90 por semana. Responda para saber mais. Me avise quando puder.",medio,vaga_duvidosa,sintetico_v1,treino
msg_00034,"Oi! Para bloquear uma operação de R$ 189,90, instale o aplicativo de segurança indicado pelo atendente.",alto,falso_banco,sintetico_v1,treino
msg_00035,"Opa! A fatura fechou em R$ 250,00. Confira os lançamentos diretamente no aplicativo antes do vencimento. Pode confirmar o recebimento?",baixo,informativo_financeiro,sintetico_v1,treino
msg_00036,Seu código de recuperação chegou. Passe todos os dígitos agora antes que ele expire. Me avise quando puder.,alto,codigo_verificacao,sintetico_v1,treino
msg_00037,"Olá, tudo certo? Há informações incompletas no seu perfil. Confirme os dados para evitar problemas futuros. Pode confirmar o recebimento?",medio,atualizacao_cadastral,sintetico_v1,treino
msg_00038,"Seu banco não solicita transferência para cancelar uma compra. Em caso de dúvida, abra o canal oficial de atendimento. Qualquer dúvida, responda por aqui.",baixo,aviso_seguranca,sintetico_v1,treino
msg_00039,"Pai, este é meu contato novo. Preciso pagar uma conta urgente e depois devolvo o dinheiro. Atenciosamente.",alto,falso_familiar,sintetico_v1,treino
msg_00041,Uma empresa encontrou seu perfil e quer fazer a entrevista somente por mensagens. Fico à disposição.,medio,vaga_duvidosa,sintetico_v1,treino
msg_00043,Bom dia! Sua conta está sob investigação. Envie uma foto do cartão e do documento para provar sua identidade! Responda quando puder.,alto,falso_banco,sintetico_v1,treino
msg_00045,"Olá, tudo certo? Encontramos uma divergência no CEP da sua entrega. Confirme as informações ainda hoje! Aguardo seu retorno.",medio,entrega_pendente,sintetico_v1,treino
msg_00046,"Olá! Sou Tiago, troquei de número. Salva este contato para falarmos depois.",medio,contato_desconhecido,sintetico_v1,treino
msg_00048,A verificação em duas etapas foi ativada por você. Guarde os códigos de recuperação em local seguro. Tudo bem?,baixo,recuperacao_solicitada,sintetico_v1,treino
msg_00050,Seu CPF pode ter uma pendência financeira. Consulte as condições no endereço enviado. Tudo bem?,medio,cobranca_duvidosa,sintetico_v1,treino
msg_00054,Seu CPF pode ter uma pendência financeira. Consulte as condições no endereço enviado. Obrigado.,medio,cobranca_duvidosa,sintetico_v1,treino
msg_00057,"Você foi convidado para avaliar nosso atendimento e poderá receber uma recompensa. Qualquer dúvida, responda por aqui.",medio,pesquisa_com_premio,sintetico_v1,treino
msg_00058,Olá! Encontramos uma pendência no seu cadastro. Veja os detalhes em conta-pendente.example. Estamos aguardando sua confirmação. Aguardo seu retorno.,medio,link_nao_solicitado,sintetico_v1,treino
msg_00060,Oi! Sua compra de tênis será entregue sábado. Não é necessário realizar pagamento adicional. Responda quando puder.,baixo,entrega_esperada,sintetico_v1,treino
msg_00061,Oi! Conheça uma oportunidade de investimento com retorno acima da média. Fale com nosso consultor. Fico à disposição.,medio,investimento_duvidoso,sintetico_v1,treino
msg_00062,Bom dia! Desconsidere a cobrança original e use este QR Code para quitar a parcela imediatamente! Obrigado.,alto,boleto_falso,sintetico_v1,treino
msg_00065,Boa tarde! A entrega que combinamos foi reagendada para sexta-feira no fim da tarde. Aguardo seu retorno.,baixo,entrega_esperada,sintetico_v1,treino
msg_00066,"Oi! Seu banco não solicita transferência para cancelar uma compra. Em caso de dúvida, abra o site oficial digitado no navegador. Confira quando puder.",baixo,aviso_seguranca,sintetico_v1,treino
msg_00067,Bom dia! A reserva está confirmada para hoje às 11h e o pagamento será feito no local. Confira quando puder.,baixo,compra_presencial,sintetico_v1,treino
msg_00068,Conheça uma oportunidade de investimento com retorno acima da média. Fale com nosso consultor. Me avise quando puder.,medio,investimento_duvidoso,sintetico_v1,treino
msg_00070,"Sou o diretor e estou em reunião. Faça um Pix de R$ 189,90 para este fornecedor novo sem avisar a equipe. Responda quando puder.",alto,fraude_executivo,sintetico_v1,treino
msg_00071,Bom dia! Sua conta será encerrada em dez minutos. Envie a senha para impedir o bloqueio. Responda quando puder.,alto,ameaca_bloqueio,sintetico_v1,treino
msg_00073,"Oi! A divisão da conta ficou em R$ 250,00 para cada pessoa. Fico à disposição.",baixo,pagamento_conhecido,sintetico_v1,treino
msg_00074,"Ei, tudo bem? Separei o livro que você viu na loja. Pode passar aqui segunda-feira. Pode confirmar o recebimento?",baixo,compra_presencial,sintetico_v1,treino
msg_00075,Uma promoção reservada para seu número termina em poucas horas. Clique para conhecer as condições. Confira quando puder.,medio,oferta_improvavel,sintetico_v1,treino
msg_00077,"Olá, tudo certo? Há uma atualização disponível para sua conta em suporte-verificacao.example. Estamos aguardando sua confirmação. Atenciosamente.",medio,link_nao_solicitado,sintetico_v1,treino
msg_00079,"Ei, tudo bem? O boleto anterior foi cancelado. Pague somente o novo código enviado por este número desconhecido. Confira quando puder.",alto,boleto_falso,sintetico_v1,treino
msg_00080,"Oi! A compra de R$ 42,00 feita por você já aparece no histórico do cartão. Fico à disposição.",baixo,informativo_financeiro,sintetico_v1,treino
msg_00083,Opa! Conheça uma oportunidade de investimento com retorno acima da média. Fale com nosso consultor.,medio,investimento_duvidoso,sintetico_v1,treino
msg_00085,Desconsidere a cobrança original e use este QR Code para quitar a parcela imediatamente. Atenciosamente.,alto,boleto_falso,sintetico_v1,treino
msg_00086,Opa! Recebi o casaco do pedido 89206. A caixa chegou em boas condições. Tudo bem?,baixo,entrega_esperada,sintetico_v1,treino
msg_00087,Ignore o procedimento da empresa; esta transferência é urgente e deve ficar em segredo. Obrigado.,alto,fraude_executivo,sintetico_v1,treino
msg_00088,Boa noite! Seu acesso pelo computador Windows foi confirmado no aplicativo que você abriu! Tudo bem?,baixo,recuperacao_solicitada,sintetico_v1,treino
msg_00090,"O setor antifraude solicita um Pix de teste, que será devolvido após a verificação. Pode confirmar o recebimento?",alto,falso_banco,sintetico_v1,treino
msg_00091,"Olá, tudo certo? A atualização anual da conta está disponível por meio do link enviado! Confira quando puder.",medio,atualizacao_cadastral,sintetico_v1,treino
msg_00092,"Ei, tudo bem? A apresentação ficou marcada para segunda-feira às 14h! Qualquer dúvida, responda por aqui.",baixo,trabalho_estudo,sintetico_v1,treino
msg_00093,A leitura do QR Code gerou um número. Envie esse número ao atendente para liberar a conta. Pode confirmar o recebimento?,alto,codigo_verificacao,sintetico_v1,treino
msg_00095,"Olá, tudo certo? A alteração de senha solicitada por você foi concluída. Se não reconhecer, entre no telefone que está no cartão sem usar links da mensagem. Tudo bem?",baixo,recuperacao_solicitada,sintetico_v1,treino
msg_00096,O banco informa que não existe taxa para liberar estorno ou cancelar transferência. Me avise quando puder.,baixo,informativo_financeiro,sintetico_v1,treino
msg_00097,Boa noite! O acesso foi limitado. Envie seus dados de login nesta conversa para liberar novamente. Responda quando puder.,alto,phishing_credenciais,sintetico_v1,treino
msg_00098,Seu extrato mensal está disponível no aplicativo oficial. Esta mensagem não contém link de acesso. Atenciosamente.,baixo,informativo_financeiro,sintetico_v1,treino
msg_00099,Opa! Temos um assunto particular para tratar com você. Confirme se este número é seu.,medio,contato_desconhecido,sintetico_v1,treino
msg_00100,"Para bloquear uma operação de R$ 42,00, instale o aplicativo de segurança indicado pelo atendente. Obrigado.",alto,falso_banco,sintetico_v1,treino
msg_00101,Boa noite! Um grupo privado está ensinando uma estratégia que promete resultados rápidos no mercado financeiro. Obrigado.,medio,investimento_duvidoso,sintetico_v1,treino
msg_00102,"Bom dia! O orçamento solicitado ficou em R$ 18,90. Você pode analisar sem compromisso! Responda quando puder.",baixo,compra_presencial,sintetico_v1,treino
msg_00104,Boa noite! Conheça uma oportunidade de investimento com retorno acima da média. Fale com nosso consultor! Fico à disposição.,medio,investimento_duvidoso,sintetico_v1,treino
msg_00105,"Identificamos uma cobrança de R$ 250,00 vinculada ao seu nome. Entre em contato para consultar. Atenciosamente.",medio,cobranca_duvidosa,sintetico_v1,treino
msg_00106,"Olá, tudo certo? Sou Ana, troquei de número. Salva este contato para falarmos depois. Me avise quando puder.",medio,contato_desconhecido,sintetico_v1,treino
msg_00107,"Ei, tudo bem? A recompensa expira hoje. Faça o depósito da taxa e envie o comprovante nesta conversa. Aguardo seu retorno.",alto,premio_com_taxa,sintetico_v1,treino
msg_00108,Opa! Sua sessão pode ter expirado. Faça uma nova validação para continuar utilizando o serviço. Tudo bem?,medio,acesso_incomum,sintetico_v1,treino
msg_00110,Boa noite! O professor colocou as orientações da atividade no portal da faculdade! Pode confirmar o recebimento?,baixo,trabalho_estudo,sintetico_v1,treino
msg_00113,"Oi! Você foi selecionado para comprar um carregador por R$ 42,00. A quantidade é limitada. Fico à disposição.",medio,oferta_improvavel,sintetico_v1,treino
msg_00114,Oi! A leitura do QR Code gerou um número. Envie esse número ao atendente para liberar a conta. Obrigado.,alto,codigo_verificacao,sintetico_v1,treino
msg_00115,Olá! Temos um assunto particular para tratar com você. Confirme se este número é seu. Aguardo seu retorno.,medio,contato_desconhecido,sintetico_v1,treino
msg_00116,O pagamento do teclado está preso. Pague uma taxa fora da plataforma para liberar a venda. Obrigado.,alto,fraude_marketplace,sintetico_v1,treino
msg_00118,"A vaga é sua, mas precisamos de um Pix para liberar o exame admissional! Tudo bem?",alto,vaga_com_taxa,sintetico_v1,treino
msg_00119,Um funcionário ligará para recolher seu cartão e pedirá a senha para concluir o cancelamento. Me avise quando puder.,alto,falso_banco,sintetico_v1,treino
msg_00121,"Bom dia! A divisão da conta ficou em R$ 250,00 para cada pessoa. Responda quando puder.",baixo,pagamento_conhecido,sintetico_v1,treino
msg_00122,Boa noite! Mude os dados bancários do fornecedor e processe o pagamento antes da aprovação normal. Obrigado.,alto,fraude_executivo,sintetico_v1,treino
msg_00123,"Sou o diretor e estou em reunião. Faça um Pix de R$ 75,50 para este fornecedor novo sem avisar a equipe. Tudo bem?",alto,fraude_executivo,sintetico_v1,treino
msg_00124,"Sou o diretor e estou em reunião. Faça um Pix de R$ 1.200,00 para este fornecedor novo sem avisar a equipe. Responda quando puder.",alto,fraude_executivo,sintetico_v1,treino
msg_00125,"Ei, tudo bem? O cadastro pode ficar limitado por falta de confirmação. Responda para receber as instruções! Aguardo seu retorno.",medio,atualizacao_cadastral,sintetico_v1,treino
msg_00126,"Se receber uma cobrança inesperada, confirme diretamente pelo aplicativo oficial antes de pagar. Obrigado.",baixo,aviso_seguranca,sintetico_v1,treino
msg_00127,Opa! Desconto especial liberado sem que você tenha feito cadastro. Confirme se deseja receber a oferta.,medio,oferta_improvavel,sintetico_v1,treino
msg_00129,"Helena, lembre-se da consulta quarta-feira às 16h30. A clínica já confirmou por telefone. Pode confirmar o recebimento?",baixo,lembrete_pessoal,sintetico_v1,treino
msg_00130,Autorize o atendente a movimentar o cursor e não feche o aplicativo durante a transferência. Responda quando puder.,alto,acesso_remoto,sintetico_v1,treino
msg_00131,O prazo para sacar o saldo esquecido termina hoje. Faça o depósito de validação agora. Pode confirmar o recebimento?,alto,beneficio_com_taxa,sintetico_v1,treino
msg_00133,Uma empresa encontrou seu perfil e quer fazer a entrevista somente por mensagens. Atenciosamente.,medio,vaga_duvidosa,sintetico_v1,treino
msg_00134,"Olá! Uma pesquisa não solicitada pede informações de contato para liberar um brinde. Qualquer dúvida, responda por aqui.",medio,pesquisa_com_premio,sintetico_v1,treino
msg_00135,"Ei, tudo bem? Para trabalhar de casa, compre um kit diretamente com o recrutador e envie o comprovante. Qualquer dúvida, responda por aqui.",alto,vaga_com_taxa,sintetico_v1,treino
msg_00136,"Ei, tudo bem? O orçamento solicitado ficou em R$ 189,90. Você pode analisar sem compromisso. Me avise quando puder.",baixo,compra_presencial,sintetico_v1,treino
msg_00138,Opa! Uma promoção reservada para seu número termina em poucas horas. Clique para conhecer as condições. Pode confirmar o recebimento?,medio,oferta_improvavel,sintetico_v1,treino
msg_00139,"Você tem um reembolso a receber. Envie foto do documento, cartão e senha. Confira quando puder.",alto,beneficio_com_taxa,sintetico_v1,treino
msg_00140,Oi! Compartilhe o código recebido por SMS para provar que a linha pertence a você! Confira quando puder.,alto,codigo_verificacao,sintetico_v1,treino
msg_00141,Boa noite! Há uma atualização disponível para sua conta em premio-resgate.example. O acesso ficará disponível por algumas horas. Responda quando puder.,medio,link_nao_solicitado,sintetico_v1,treino
msg_00145,Olá! Estou falando em nome da empresa sobre uma solicitação no seu CPF. Pode confirmar o recebimento?,medio,contato_desconhecido,sintetico_v1,treino
msg_00146,"Ei, tudo bem? O professor colocou as orientações da atividade no portal da faculdade. Não precisa responder agora. Aguardo seu retorno.",baixo,trabalho_estudo,sintetico_v1,treino
msg_00147,"A negociação de uma dívida no valor de R$ 42,00 está disponível por tempo limitado. Obrigado.",medio,cobranca_duvidosa,sintetico_v1,treino
msg_00148,"Olá, tudo certo? Quero muito encontrar você, mas preciso de R$ 18,90 para comprar a passagem. Não conte a ninguém. Qualquer dúvida, responda por aqui.",alto,fraude_romantica,sintetico_v1,treino
msg_00149,A empresa exige pagamento antecipado para cadastrar seu salário e confirmar a contratação. Atenciosamente.,alto,vaga_com_taxa,sintetico_v1,treino
msg_00150,"Comece investindo R$ 75,50 e acompanhe os resultados pelo grupo de mensagens. Obrigado.",medio,investimento_duvidoso,sintetico_v1,treino
msg_00151,"Oi! A compra de R$ 18,90 feita por você já aparece no histórico do cartão! Qualquer dúvida, responda por aqui.",baixo,informativo_financeiro,sintetico_v1,treino
msg_00152,Opa! A apresentação ficou marcada para terça-feira às 9h30!,baixo,trabalho_estudo,sintetico_v1,treino
msg_00153,"Ei, tudo bem? Meu presente ficou retido na alfândega. Pague a taxa para que ele seja entregue a você. Responda quando puder.",alto,fraude_romantica,sintetico_v1,treino
msg_00154,Oi! Estou em uma emergência e só consigo falar por mensagem. Envie dinheiro sem comentar com ninguém. Pode confirmar o recebimento?,alto,falso_familiar,sintetico_v1,treino
msg_00155,Opa! Há um valor público disponível no seu CPF. Informe a senha bancária para receber. Fico à disposição.,alto,beneficio_com_taxa,sintetico_v1,treino
msg_00156,"Boa tarde! A nota fiscal da compra de R$ 18,90 foi entregue junto com o produto. Aguardo seu retorno.",baixo,compra_presencial,sintetico_v1,treino
msg_00157,"Boa tarde! Enviei um comprovante, mas você precisa devolver a diferença por Pix antes de conferir o saldo.",alto,fraude_marketplace,sintetico_v1,treino
msg_00158,"Olá, tudo certo? Troque o beneficiário do pagamento e ignore o documento recebido pelo canal oficial.",alto,boleto_falso,sintetico_v1,treino
msg_00159,"Recebi uma dica exclusiva de investimento e posso incluir você, se responder ainda hoje! Me avise quando puder.",medio,investimento_duvidoso,sintetico_v1,treino
msg_00160,"Opa! Fiz o Pix de R$ 189,90 referente à nossa compra combinada. Confira quando puder. Aguardo seu retorno.",baixo,pagamento_conhecido,sintetico_v1,treino
msg_00161,"Recebemos várias tentativas de entrada. A mensagem pede confirmação, mas não informa o canal oficial. Tudo bem?",medio,acesso_incomum,sintetico_v1,treino
msg_00162,"Boa noite! Seu banco não solicita transferência para cancelar uma compra. Em caso de dúvida, abra o telefone que está no cartão. Tudo bem?",baixo,aviso_seguranca,sintetico_v1,treino
msg_00163,Existe uma ordem contra você. Faça o Pix solicitado para evitar consequências legais. Fico à disposição.,alto,ameaca_bloqueio,sintetico_v1,treino
msg_00164,Você iniciou uma recuperação de senha no telefone que está no cartão. Digite o código somente na tela que você abriu e não o compartilhe. Tudo bem?,baixo,recuperacao_solicitada,sintetico_v1,treino
msg_00165,"Olá! O produto está disponível, mas confirme pessoalmente antes de efetuar qualquer pagamento! Aguardo seu retorno.",baixo,compra_presencial,sintetico_v1,treino
msg_00166,Estou em uma emergência e só consigo falar por mensagem. Envie dinheiro sem comentar com ninguém! Tudo bem?,alto,falso_familiar,sintetico_v1,treino
msg_00167,Um grupo privado está ensinando uma estratégia que promete resultados rápidos no mercado financeiro. Fico à disposição.,medio,investimento_duvidoso,sintetico_v1,treino
msg_00168,Há um valor público disponível no seu CPF. Informe a senha bancária para receber. Responda quando puder.,alto,beneficio_com_taxa,sintetico_v1,treino
msg_00170,Olá! Deposite a taxa do uniforme hoje e receba o contrato somente depois do pagamento. Pode confirmar o recebimento?,alto,vaga_com_taxa,sintetico_v1,treino
msg_00171,"Boa tarde! A divisão da conta ficou em R$ 42,00 para cada pessoa. Confira quando puder.",baixo,pagamento_conhecido,sintetico_v1,treino
msg_00172,"Opa! A negociação de uma dívida no valor de R$ 250,00 está disponível por tempo limitado. Atenciosamente.",medio,cobranca_duvidosa,sintetico_v1,treino
msg_00173,Bom dia! A entrega que combinamos foi reagendada para quarta-feira às 11h. Aguardo seu retorno.,baixo,entrega_esperada,sintetico_v1,treino
msg_00174,Uma pesquisa não solicitada pede informações de contato para liberar um brinde. Atenciosamente.,medio,pesquisa_com_premio,sintetico_v1,treino
msg_00175,"Oi! O endereço do pedido 74518 foi confirmado no momento da compra. Qualquer dúvida, responda por aqui.",baixo,entrega_esperada,sintetico_v1,treino
msg_00176,"Ei, tudo bem? O comprovante da transferência combinada está salvo no aplicativo. Não precisa clicar em nenhum link. Atenciosamente.",baixo,pagamento_conhecido,sintetico_v1,treino
msg_00177,Opa! Sua conta será encerrada em dez minutos. Envie a senha para impedir o bloqueio.,alto,ameaca_bloqueio,sintetico_v1,treino
msg_00178,O aniversário da Bruno será terça-feira no fim da tarde. Cada pessoa pode levar alguma coisa. Pode confirmar o recebimento?,baixo,lembrete_pessoal,sintetico_v1,treino
msg_00179,Olá! Seu CPF pode ter uma pendência financeira. Consulte as condições no endereço enviado. Obrigado.,medio,cobranca_duvidosa,sintetico_v1,treino
