id,texto,nivel,categoria,origem,split
msg_00002,"Ei, tudo bem? O pedido 61973 com o relógio saiu para entrega. Você já estava acompanhando pelo aplicativo. Pode confirmar o recebimento?",baixo,entrega_esperada,sintetico_v1,validacao
msg_00014,Você foi aprovado para uma vaga à qual não se lembra de ter se candidatado. Confirme seu interesse. Atenciosamente.,medio,vaga_duvidosa,sintetico_v1,validacao
msg_00044,Um grupo privado está ensinando uma estratégia que promete resultados rápidos no mercado financeiro. Aguardo seu retorno.,medio,investimento_duvidoso,sintetico_v1,validacao
msg_00047,Seus dados cadastrais precisam ser atualizados. Inicie a revisão em conta-pendente.example.,medio,atualizacao_cadastral,sintetico_v1,validacao
msg_00056,"Olá! Peguei seu contato com um conhecido, mas prefiro explicar o assunto por mensagem. Fico à disposição.",medio,contato_desconhecido,sintetico_v1,validacao
msg_00069,"Confirmamos o cancelamento pedido por você. O estorno de R$ 42,00 aparecerá na próxima fatura. Qualquer dúvida, responda por aqui.",baixo,suporte_solicitado,sintetico_v1,validacao
msg_00089,"Se não pagar R$ 480,00 agora, seu CPF será bloqueado e a polícia será acionada! Aguardo seu retorno.",alto,ameaca_bloqueio,sintetico_v1,validacao
msg_00109,"Boa noite! Seus dados cadastrais precisam ser atualizados. Inicie a revisão em entrega-atualiza.example. Qualquer dúvida, responda por aqui.",medio,atualizacao_cadastral,sintetico_v1,validacao
msg_00112,Opa! Seu código de recuperação chegou. Passe todos os dígitos agora antes que ele expire. Confira quando puder.,alto,codigo_verificacao,sintetico_v1,validacao
msg_00117,Bom dia! Um grupo privado está ensinando uma estratégia que promete resultados rápidos no mercado financeiro. Aguardo seu retorno.,medio,investimento_duvidoso,sintetico_v1,validacao
msg_00120,"Ei, tudo bem? Sua compra de teclado será entregue quarta-feira. Não é necessário realizar pagamento adicional. Qualquer dúvida, responda por aqui.",baixo,entrega_esperada,sintetico_v1,validacao
msg_00128,"Opa! Identificamos uma cobrança de R$ 75,50 vinculada ao seu nome. Entre em contato para consultar. Atenciosamente.",medio,cobranca_duvidosa,sintetico_v1,validacao
msg_00132,"Você foi selecionado para comprar um computador por R$ 250,00. A quantidade é limitada. Obrigado.",medio,oferta_improvavel,sintetico_v1,validacao
msg_00137,"Boa tarde! O endereço do pedido 58340 foi confirmado no momento da compra. Qualquer dúvida, responda por aqui.",baixo,entrega_esperada,sintetico_v1,validacao
msg_00187,"Enviei um comprovante, mas você precisa devolver a diferença por Pix antes de conferir o saldo!",alto,fraude_marketplace,sintetico_v1,validacao
msg_00198,"Boa tarde! Peguei seu contato com um conhecido, mas prefiro explicar o assunto por mensagem. Atenciosamente.",medio,contato_desconhecido,sintetico_v1,validacao
msg_00203,"Olá! Estou usando um número pessoal. Pague a nota enviada e não confirme com mais ninguém. Qualquer dúvida, responda por aqui.",alto,fraude_executivo,sintetico_v1,validacao
msg_00206,Bom dia! Você consegue conferir os slides e deixar seus comentários até às 14h? Aguardo seu retorno.,baixo,trabalho_estudo,sintetico_v1,validacao
msg_00220,Boa noite! Sua compra de carregador será entregue amanhã. Não é necessário realizar pagamento adicional! Aguardo seu retorno.,baixo,entrega_esperada,sintetico_v1,validacao
msg_00222,"Olá, tudo certo? O suporte encerrou o chamado. Caso o problema continue, responda pelo canal em que você iniciou o atendimento! Fico à disposição.",baixo,suporte_solicitado,sintetico_v1,validacao
msg_00229,"Bom dia! Recebemos uma solicitação de cobrança, mas precisamos confirmar se os dados estão corretos! Me avise quando puder.",medio,cobranca_duvidosa,sintetico_v1,validacao
msg_00238,Oi! Recebi o teclado do pedido 58340. A caixa chegou em boas condições.,baixo,entrega_esperada,sintetico_v1,validacao
msg_00242,O banco informa que não existe taxa para liberar estorno ou cancelar transferência. Fico à disposição.,baixo,informativo_financeiro,sintetico_v1,validacao
msg_00244,"Olá! Você tem um reembolso a receber. Envie foto do documento, cartão e senha. Qualquer dúvida, responda por aqui.",alto,beneficio_com_taxa,sintetico_v1,validacao
msg_00245,Opa! Sua encomenda não pôde ser entregue por dados incompletos. Atualize o endereço em suporte-verificacao.example.,medio,entrega_pendente,sintetico_v1,validacao
msg_00259,"Olá, tudo certo? O professor colocou as orientações da atividade no portal da faculdade. Confira quando puder.",baixo,trabalho_estudo,sintetico_v1,validacao
msg_00260,Oi! A apresentação ficou marcada para sábado às 9h30.,baixo,trabalho_estudo,sintetico_v1,validacao
msg_00261,Detectamos uma tentativa de acesso por um tablet. Verifique a atividade no link desta mensagem. Atenciosamente.,medio,acesso_incomum,sintetico_v1,validacao
msg_00271,Seu pacote pode ser devolvido ao remetente. Verifique o status no link recebido nesta conversa!,medio,entrega_pendente,sintetico_v1,validacao
msg_00273,"Olá! Você consegue conferir os slides e deixar seus comentários até às 14h? Qualquer dúvida, me chama. Me avise quando puder.",baixo,trabalho_estudo,sintetico_v1,validacao
msg_00278,"Boa noite! Vou chegar às 8h. Se mudar alguma coisa, eu aviso por aqui. Obrigado! Obrigado.",baixo,conversa_cotidiana,sintetico_v1,validacao
msg_00281,"Opa! Não consigo falar por telefone. Mande R$ 480,00 por Pix e não avise mais ninguém! Confira quando puder.",alto,pix_urgente,sintetico_v1,validacao
msg_00285,"Seu número foi sorteado. Envie um Pix de liberação antes de resgatar o valor! Qualquer dúvida, responda por aqui.",alto,premio_com_taxa,sintetico_v1,validacao
msg_00286,"Olá! Vou chegar às 16h30. Se mudar alguma coisa, eu aviso por aqui. Obrigado! Responda quando puder.",baixo,conversa_cotidiana,sintetico_v1,validacao
msg_00323,Lembrete de segurança: nunca informe sua senha ou código de verificação por mensagem. Consulte sempre o aplicativo oficial. Responda quando puder.,baixo,aviso_seguranca,sintetico_v1,validacao
msg_00324,Boa tarde! Há uma atualização disponível para sua conta em entrega-atualiza.example. Estamos aguardando sua confirmação. Fico à disposição.,medio,link_nao_solicitado,sintetico_v1,validacao
msg_00328,"Enviei um comprovante, mas você precisa devolver a diferença por Pix antes de conferir o saldo. Me avise quando puder.",alto,fraude_marketplace,sintetico_v1,validacao
msg_00336,Boa tarde! Estou falando em nome da empresa sobre uma solicitação no seu CPF. Obrigado.,medio,contato_desconhecido,sintetico_v1,validacao
msg_00347,Opa! Uma pesquisa não solicitada pede informações de contato para liberar um brinde. Pode confirmar o recebimento?,medio,pesquisa_com_premio,sintetico_v1,validacao
msg_00356,"Você foi selecionado para comprar um relógio por R$ 18,90. A quantidade é limitada! Responda quando puder.",medio,oferta_improvavel,sintetico_v1,validacao
msg_00366,"Boa tarde! Conforme o chamado que você abriu, o atendimento está agendado para segunda-feira depois do almoço. Não enviaremos pedido de senha. Aguardo seu retorno.",baixo,suporte_solicitado,sintetico_v1,validacao
msg_00376,Houve uma alteração nas configurações da conta. Consulte o atendimento caso não reconheça! Confira quando puder.,medio,acesso_incomum,sintetico_v1,validacao
msg_00379,"Opa! Seu acordo só será mantido se o boleto de R$ 1.200,00 for pago nos próximos minutos. Obrigado.",alto,boleto_falso,sintetico_v1,validacao
msg_00381,Temos uma oportunidade com preço muito abaixo do mercado e entrega imediata. Fico à disposição.,medio,oferta_improvavel,sintetico_v1,validacao
msg_00383,Olá! A recompensa expira hoje. Faça o depósito da taxa e envie o comprovante nesta conversa. Atenciosamente.,alto,premio_com_taxa,sintetico_v1,validacao
