id,texto,nivel,categoria,origem,split
msg_00003,O código de acesso foi enviado porque você pediu. Nenhum atendente solicitará esse código por telefone ou conversa! Atenciosamente.,baixo,recuperacao_solicitada,sintetico_v1,teste
msg_00005,Bom dia! Acabei de enviar um código de seis dígitos para seu celular. Informe o código aqui para confirmar o atendimento! Atenciosamente.,alto,codigo_verificacao,sintetico_v1,teste
msg_00006,"Se não pagar R$ 250,00 agora, seu CPF será bloqueado e a polícia será acionada! Fico à disposição.",alto,ameaca_bloqueio,sintetico_v1,teste
msg_00007,"Acesse confirmacao-imediata.example e informe usuário, senha e CPF para evitar a suspensão da conta.",alto,phishing_credenciais,sintetico_v1,teste
msg_00012,Oi! Nossa plataforma garante 20% ao dia. Transfira o valor para a conta do consultor. Fico à disposição.,alto,investimento_garantido,sintetico_v1,teste
msg_00015,Seu extrato mensal está disponível no aplicativo oficial. Esta mensagem não contém link de acesso! Aguardo seu retorno.,baixo,informativo_financeiro,sintetico_v1,teste
msg_00021,"Boa tarde! A vaga é sua, mas precisamos de um Pix para liberar o exame admissional! Confira quando puder.",alto,vaga_com_taxa,sintetico_v1,teste
msg_00022,O investimento apresentou variação neste mês; rentabilidade passada não garante retorno futuro. Responda quando puder.,baixo,informativo_financeiro,sintetico_v1,teste
msg_00040,"Oi! Preciso que faça um Pix de R$ 42,00 agora. Depois explico o motivo. Responda quando puder.",alto,pix_urgente,sintetico_v1,teste
msg_00042,"Confirmamos o cancelamento pedido por você. O estorno de R$ 18,90 aparecerá na próxima fatura. Atenciosamente.",baixo,suporte_solicitado,sintetico_v1,teste
msg_00049,Bom dia! Sua compra de computador será entregue sexta-feira. Não é necessário realizar pagamento adicional. Me avise quando puder.,baixo,entrega_esperada,sintetico_v1,teste
msg_00051,"Bom dia! O orçamento solicitado ficou em R$ 1.200,00. Você pode analisar sem compromisso. Pode confirmar o recebimento?",baixo,compra_presencial,sintetico_v1,teste
msg_00052,Um novo dispositivo tentou acessar sua conta. Confirme se reconhece o acesso. Obrigado.,medio,acesso_incomum,sintetico_v1,teste
